vacant,vacant,vacant,17/JC,8/DD,vacant,vacant,vacant,vacant,vacant
vacant,vacant,vacant,11/DH,vacant,vacant,vacant,vacant,vacant,vacant
vacant,vacant,vacant,vacant,vacant,vacant,vacant,vacant,vacant,vacant
vacant,vacant,vacant,vacant,22/TH,2/AS,6/BT,16/JP,vacant,vacant
vacant,vacant,vacant,vacant,vacant,vacant,vacant,vacant,vacant,vacant
vacant,vacant,vacant,vacant,vacant,vacant,vacant,vacant,23/VC,vacant
vacant,13/IS,vacant,25/CG,vacant,vacant,vacant,vacant,vacant,vacant
vacant,1/AM,vacant,vacant,vacant,vacant,vacant,vacant,vacant,vacant
vacant,vacant,vacant,vacant,vacant,vacant,vacant,vacant,vacant,vacant
vacant,vacant,vacant,vacant,vacant,vacant,vacant,vacant,vacant,vacant
